Unique ID,TV Show Title,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres,Total Occ
tt0135104,Rex the Runt,7.9,1991,2005,,10,[' Comedy'],0.0
tt13749554,Fate/Grand Carnival,6.8,2020, ,,,[],0.0
tt4759674,Justice League: Gods and Monsters Chronicles,7.5,2015,2016,TV-MA,6,"[' Short', ' Action']",0.0
tt1515976,11 Eyes,5.7,2009, ,TV-14,25,"[' Action', ' Fantasy']",0.0
tt13457122,Pretty Boy Detective Club,6.5,2021, ,,,[' Mystery'],0.0
tt4739444,Film Theory,7.1,2015, ,TV-14,,"[' Comedy', ' Talk-Show']",0.0
tt14734616,Mush-Mush & the Mushables,8.2,2020, ,TV-Y,,"[' Adventure', ' Comedy']",0.0
tt0247137,Theodore Tugboat,7.4,1993,2000,TV-Y,15,[' Family'],0.0
tt8673808,Angolmois: Genkou Kassenki,7.1,2018),(2018,Unrated,23,"[' Action', ' Drama']",0.0
tt14452674,Droners,6.9,2020, ,,22,[' Action'],0.0
tt6328652,Zorro the Chronicles,7.7,2015,2016,,23,"[' Action', ' Adventure']",0.0
tt1216714,Can You Teach My Alligator Manners?,7.9,2008, ,TV-Y,3,[' Family'],0.0
tt8016268,Cloudbabies,8.1,2012,2013,,,[],0.0
tt1832767,Sandra: The Fairytale Detective,8.4,2009, ,TV-G,,"[' Adventure', ' Comedy']",0.0
tt1033796,Dennou Coil,7.9,2007),(2007,TV-14,,"[' Adventure', ' Comedy']",0.0
tt14443540,Yoru no Kuni,8.0,2021),(2021,,,"[' Fantasy', ' Music']",0.0
tt0387741,Gadget and the Gadgetinis,5.0,2001,2009,,21,"[' Action', ' Adventure']",0.0
tt1458796,Batman: Black and White,7.7,2008, ,,,"[' Crime', ' Drama']",0.0
tt0302129,New Adventures of Kimba the White Lion,6.6,1989, ,,,[],0.0
tt1475263,Ga-Rei-Zero,7.3,2008, ,TV-MA,24,"[' Action', ' Drama']",0.0
tt1027888,The Adventures of Bottle Top Bill and His Best Friend Corky,7.0,2005, ,,12,"[' Adventure', ' Comedy']",0.0
tt10443610,Rudra,2.5,2018, ,,22,[],0.0
tt0220204,Chibi Maruko-chan,8.0,1990, ,,24,"[' Comedy', ' Drama']",0.0
